country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,2.08,2.07,2.07,2.09,2.11,2.13,2.13,2.14,2.14,2.13,2.13,2.12,2.08,2.15,2.16,2.1,2.03,1.96,1.89,1.81,1.66,1.57,1.52,1.59,1.58,1.55,1.52
Albania,0.59,0.66,0.71,0.82,0.93,0.97,1,1,1.02,1.01,0.99,0.98,0.92,0.83,0.72,0.59,0.53,0.53,0.5,0.44,0.44,0.43,0.42,0.41,0.4,0.39,0.39
Algeria,1.84,1.75,1.68,1.62,1.55,1.49,1.44,1.43,1.38,1.33,1.27,1.21,1.16,1.11,1.06,1.01,0.97,0.93,0.89,0.85,0.82,0.8,0.77,0.74,0.73,0.7,0.68
Andorra,0.29,0.28,0.28,0.27,0.25,0.24,0.23,0.21,0.2,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14
Angola,4.12,4.04,3.95,3.92,3.89,3.8,3.64,3.5,3.59,3.46,3.37,3.24,3.18,3.14,3.13,3.04,2.95,2.89,2.81,2.7,2.63,2.52,2.4,2.28,2.18,2.07,1.96
Antigua and Barbuda,1.02,1,1,0.98,0.92,0.89,0.86,0.75,0.66,0.6,0.55,0.53,0.5,0.48,0.49,0.48,0.45,0.42,0.42,0.44,0.42,0.42,0.42,0.42,0.39,0.4,0.39
Argentina,1.09,1.06,1.03,0.99,0.96,0.93,0.9,0.87,0.83,0.81,0.78,0.75,0.74,0.72,0.72,0.73,0.68,0.67,0.65,0.63,0.61,0.59,0.59,0.57,0.57,0.55,0.54
Armenia,2.04,2.12,2.32,2.57,2.6,2.24,1.95,1.7,1.5,1.35,1.21,1.13,1.07,1.03,1,0.98,0.94,0.89,0.85,0.82,0.82,0.81,0.81,0.77,0.74,0.72,0.71
Australia,0.36,0.35,0.33,0.33,0.31,0.32,0.3,0.28,0.24,0.23,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.17,0.17,0.17
Austria,0.46,0.44,0.39,0.38,0.35,0.33,0.31,0.29,0.27,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19
Azerbaijan,1.62,1.69,1.81,1.79,1.77,1.65,1.54,1.44,1.35,1.26,1.2,1.07,1.02,0.99,0.98,1.02,1.02,1.03,1.02,1,1.08,0.98,0.92,0.86,0.82,0.79,0.76
Bahamas,0.82,0.76,0.71,0.68,0.64,0.61,0.55,0.49,0.43,0.36,0.33,0.31,0.31,0.28,0.27,0.28,0.25,0.24,0.25,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.26
Bahrain,1.01,0.98,0.96,0.92,0.88,0.83,0.79,0.72,0.7,0.66,0.63,0.6,0.58,0.55,0.52,0.49,0.47,0.43,0.39,0.36,0.34,0.32,0.31,0.29,0.28,0.28,0.29
Bangladesh,0.9,0.85,0.8,0.74,0.7,0.66,0.62,0.58,0.55,0.52,0.51,0.45,0.42,0.39,0.4,0.4,0.43,0.45,0.47,0.46,0.45,0.4,0.38,0.36,0.35,0.35,0.32
Barbados,0.61,0.6,0.61,0.59,0.55,0.52,0.47,0.41,0.36,0.32,0.29,0.27,0.26,0.26,0.27,0.26,0.25,0.23,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.22,0.22
Belarus,2.17,2.21,2.3,2.45,2.57,2.68,2.76,2.87,2.99,3.07,3.09,3.22,3.43,3.35,3.18,3.09,2.96,2.84,2.68,2.59,2.56,2.43,2.2,2.06,1.92,1.87,1.82
Belgium,0.91,0.88,0.82,0.77,0.71,0.66,0.59,0.53,0.45,0.39,0.32,0.29,0.27,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19
Belize,2.35,2.25,2.14,2.09,1.93,1.92,1.89,1.67,1.52,1.4,1.31,1.25,1.19,1.12,1.12,1.1,1.01,0.95,0.94,0.97,0.91,0.87,0.89,0.89,0.85,0.85,0.84
Benin,2.9,2.9,2.9,2.9,2.94,2.96,3.01,3,2.99,2.94,2.9,2.82,2.76,2.65,2.55,2.45,2.39,2.33,2.3,2.26,2.22,2.19,2.16,2.13,2.08,2.04,1.99
Bhutan,1.4,1.33,1.26,1.2,1.15,1.1,1.08,1.06,1.01,0.94,0.89,0.85,0.79,0.76,0.72,0.68,0.64,0.61,0.58,0.54,0.51,0.48,0.45,0.43,0.41,0.39,0.37
Bolivia,3.69,3.54,3.38,3.23,3.06,2.89,2.7,2.54,2.35,2.18,2.04,1.9,1.79,1.7,1.62,1.51,1.44,1.39,1.33,1.27,1.23,1.19,1.14,1.09,1.05,1.01,0.98
Bosnia and Herzegovina,6.91,6.69,6.53,6.3,5.91,5.48,4.42,3.41,2.45,1.59,1.21,1,0.9,0.82,0.77,0.73,0.7,0.67,0.64,0.61,0.59,0.57,0.53,0.49,0.45,0.45,0.44
Botswana,2.29,2.23,2.19,2.17,2.18,2.24,2.3,2.35,2.45,2.5,2.54,2.53,2.52,2.47,2.35,2.21,2.09,1.97,1.84,1.73,1.66,1.58,1.52,1.46,1.42,1.39,1.39
Brazil,0.46,0.44,0.43,0.42,0.4,0.38,0.36,0.34,0.33,0.31,0.3,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18
Brunei,0.71,0.7,0.68,0.66,0.64,0.61,0.59,0.56,0.53,0.5,0.48,0.46,0.44,0.43,0.42,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4
Bulgaria,1.53,1.57,1.57,1.6,1.66,1.61,1.63,1.64,1.52,1.44,1.35,1.25,1.16,1.06,0.98,0.87,0.8,0.75,0.7,0.66,0.62,0.58,0.54,0.49,0.5,0.5,0.49
Burkina Faso,4.22,4.08,4.03,3.95,3.87,3.82,3.71,3.64,3.57,3.45,3.38,3.23,3.11,3.01,2.93,2.84,2.76,2.69,2.64,2.59,2.58,2.53,2.54,2.55,2.52,2.48,2.46
Burundi,7,6.92,6.83,6.76,6.7,6.64,6.53,6.31,6.04,5.64,5.32,4.89,4.61,4.35,4.1,3.94,3.72,3.57,3.45,3.33,3.22,3.19,3.17,3.17,3.15,3.15,3.13
Cambodia,1.77,1.75,1.73,1.73,1.73,1.73,1.72,1.71,1.7,1.66,1.6,1.54,1.47,1.39,1.32,1.24,1.17,1.11,1.05,1,0.96,0.92,0.87,0.83,0.8,0.76,0.73
Cameroon,2.35,2.37,2.41,2.42,2.45,2.49,2.52,2.58,2.62,2.61,2.6,2.54,2.49,2.4,2.33,2.28,2.25,2.24,2.22,2.21,2.2,2.18,2.16,2.11,2.06,2,1.96
Canada,0.64,0.63,0.62,0.6,0.58,0.53,0.5,0.47,0.43,0.38,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25
Cape Verde,1.6,1.58,1.57,1.59,1.61,1.65,1.66,1.63,1.57,1.5,1.44,1.38,1.33,1.28,1.23,1.18,1.15,1.1,1.06,1.01,0.97,0.93,0.89,0.86,0.83,0.81,0.78
Central African Republic,4.45,4.47,4.41,4.45,4.43,4.36,4.38,4.31,4.28,4.25,4.15,4.09,4.06,4,3.93,3.89,3.96,3.93,3.84,3.85,3.84,3.78,3.7,3.71,3.7,3.66,3.61
Chad,2.99,2.93,2.97,3.05,3.07,3.08,3.24,3.35,3.44,3.5,3.5,3.48,3.42,3.4,3.3,3.21,3.16,3.18,3.16,3.1,3.07,2.99,2.92,2.85,2.78,2.74,2.69
Chile,0.65,0.6,0.55,0.53,0.52,0.51,0.49,0.48,0.43,0.4,0.35,0.33,0.31,0.28,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.21,0.2,0.19,0.19,0.19,0.19
China,2.85,2.72,2.58,2.47,2.3,2.24,2.14,2.06,2,1.92,1.9,1.89,1.85,1.76,1.69,1.62,1.55,1.49,1.45,1.42,1.4,1.35,1.3,1.28,1.26,1.21,1.15
Colombia,1.3,1.29,1.26,1.17,1.02,0.86,0.74,0.58,0.5,0.46,0.42,0.39,0.36,0.33,0.32,0.3,0.29,0.28,0.27,0.27,0.26,0.24,0.24,0.23,0.22,0.21,0.21
Comoros,4.55,4.47,4.39,4.3,4.22,4.08,3.97,3.84,3.28,3.06,2.89,2.73,2.59,2.46,2.35,2.26,2.23,2.18,2.15,2.11,2.05,2.01,1.96,1.9,1.88,1.83,1.79
"Congo, Dem. Rep.",2.66,2.65,2.61,2.55,2.54,2.54,2.61,2.53,2.53,2.51,2.55,2.52,2.47,2.48,2.39,2.33,2.31,2.29,2.27,2.24,2.22,2.19,2.18,2.13,2.09,2.06,2.01
"Congo, Rep.",3.07,2.95,2.89,2.88,2.96,2.96,2.96,2.96,2.81,2.74,2.58,2.37,2.2,2.12,2.02,1.97,1.91,1.88,1.86,1.81,1.73,1.66,1.61,1.57,1.54,1.5,1.46
Costa Rica,0.43,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.36,0.36,0.35,0.34,0.32,0.31,0.3,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23
Cote d'Ivoire,3.06,3.05,3.1,3.19,3.27,3.34,3.36,3.33,3.32,3.29,3.25,3.19,3.09,3,2.93,2.84,2.78,2.69,2.62,2.56,2.51,2.5,2.51,2.51,2.47,2.43,2.39
